% Model:              spr_1d_bsa_cake.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 21 2025, 09:41
% Table:              Table 1 - Reflectance, Transmittance, and Absorptance (ewfd)
% in_rad (rad)           h_BSA (nm)               freq (THz)               Reflectance, order 0 (1)
1.1362093430483085       6                        304.66713211382114       0.7817556516389826
1.1362093430483085       11                       304.66713211382114       0.8974111044968852
1.1362093430483085       15.999999999999998       304.66713211382114       0.9380525792015587
1.1362093430483085       21                       304.66713211382114       0.9544446475523591
1.1362093430483085       25.999999999999996       304.66713211382114       0.9616232261318823
1.1362093430483085       30.999999999999996       304.66713211382114       0.9648275908296515
1.1362093430483085       36                       304.66713211382114       0.9661579793263256
1.1362093430483085       41                       304.66713211382114       0.9665508790210944
1.1362093430483085       45.99999999999999        304.66713211382114       0.966458574534149
1.137954672300303        0.9999999999999999       304.66713211382114       0.1886060886468378
1.137954672300303        6                        304.66713211382114       0.6809123510714189
1.137954672300303        11                       304.66713211382114       0.8643361684937501
1.137954672300303        15.999999999999998       304.66713211382114       0.925478291415802
1.137954672300303        21                       304.66713211382114       0.9490357437900261
1.137954672300303        25.999999999999996       304.66713211382114       0.9591278681576413
1.137954672300303        30.999999999999996       304.66713211382114       0.9636577917993675
1.137954672300303        36                       304.66713211382114       0.965640879267815
1.137954672300303        41                       304.66713211382114       0.966372685802727
1.137954672300303        45.99999999999999        304.66713211382114       0.9664619075772365
1.1397000015522971       0.9999999999999999       304.66713211382114       0.020717947343752072
1.1397000015522971       6                        304.66713211382114       0.5277355851957917
1.1397000015522971       11                       304.66713211382114       0.8143303925464098
1.1397000015522971       15.999999999999998       304.66713211382114       0.9075108566389961
1.1397000015522971       21                       304.66713211382114       0.9415993136780471
1.1397000015522971       25.999999999999996       304.66713211382114       0.9557557988436869
1.1397000015522971       30.999999999999996       304.66713211382114       0.9620669868377846
1.1397000015522971       36                       304.66713211382114       0.9649052228504753
1.1397000015522971       41                       304.66713211382114       0.9660742328174853
1.1397000015522971       45.99999999999999        304.66713211382114       0.9663961321477219
1.1414453308042916       0.9999999999999999       304.66713211382114       0.02731125445899492
1.1414453308042916       6                        304.66713211382114       0.3196237245019191
1.1414453308042916       11                       304.66713211382114       0.7380392364216148
1.1414453308042916       15.999999999999998       304.66713211382114       0.8815104045751102
1.1414453308042916       21                       304.66713211382114       0.931318523967058
1.1414453308042916       25.999999999999996       304.66713211382114       0.9512104067556838
1.1414453308042916       30.999999999999996       304.66713211382114       0.9599319961021995
1.1414453308042916       36                       304.66713211382114       0.9638941799074627
1.1414453308042916       41                       304.66713211382114       0.9656270517178077
1.1414453308042916       45.99999999999999        304.66713211382114       0.9662460298200221
1.1431906600562858       0.9999999999999999       304.66713211382114       0.16030154204671
